Name,DocumentID,ID,SMILES,Response,Original_SMILES,Batch Reference,Type,Dataset,SMILES_ORI,InChI,InChI Key,Resp_STDEV,Resp_CNT,Resp_MEDIAN
-,A100755,None,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3C#N)cn2)CC1,2.81,None,None,None,OChem,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3C#N)cn2)CC1,"InChI=1S/C20H24N6O3/c1-20(2,3)29-19(27)26-8-6-25(7-9-26)18-23-12-17(13-24-18)28-14-15-4-5-22-11-16(15)10-21/h4-5,11-13H,6-9,14H2,1-3H3",RHLKIVUEHCVGSH-UHFFFAOYSA-N,0.0,1,2.81
-,A100755,None,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1cncn1,3.2,None,None,None,OChem,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1cncn1,"InChI=1S/C19H16ClFN6O2/c1-28-17-7-13-16(8-18(17)29-5-4-27-11-22-9-25-27)23-10-24-19(13)26-15-3-2-12(20)6-14(15)21/h2-3,6-11H,4-5H2,1H3,(H,23,24,26)",SXCPGBVLGDVEHO-UHFFFAOYSA-N,0.0,1,3.2
-,A100755,None,COCCN1CCN(CC(=O)Nc2ccc(-c3cccn4c(=O)cc(N5CCOCC5)nc34)c3sc4ccccc4c23)CC1,3.2,None,None,None,OChem,COCCN1CCN(CC(=O)Nc2ccc(-c3cccn4c(=O)cc(N5CCOCC5)nc34)c3sc4ccccc4c23)CC1,"InChI=1S/C33H36N6O4S/c1-42-18-15-36-11-13-37(14-12-36)22-29(40)34-26-9-8-23(32-31(26)25-5-2-3-7-27(25)44-32)24-6-4-10-39-30(41)21-28(35-33(24)39)38-16-19-43-20-17-38/h2-10,21H,11-20,22H2,1H3,(H,34,40)",XWFFFSBKJSMVEY-UHFFFAOYSA-N,0.0,1,3.2
-,A100755,None,NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,0.07,None,None,None,OChem,NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,"InChI=1S/C18H24N2O2/c19-18(21)13-2-1-3-16(8-13)22-17-9-14-6-7-15(10-17)20(14)11-12-4-5-12/h1-3,8,12,14-15,17H,4-7,9-11H2,(H2,19,21)",AQEIRYQRLMXQPR-UHFFFAOYSA-N,0.0,1,0.07
-,A100755,None,O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1cccnc1,2.1,None,None,None,OChem,O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1cccnc1,"InChI=1S/C19H25N3O2S/c23-25(24,18-11-8-12-20-15-18)21-16-19(17-9-4-3-5-10-17)22-13-6-1-2-7-14-22/h3-5,8-12,15,19,21H,1-2,6-7,13-14,16H2",RMTHVVMPPIFDSQ-UHFFFAOYSA-N,0.0,1,2.1
-,A100755,None,COC1CCN(C(=O)C2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)CC1,4.09,None,None,None,OChem,COC1CCN(C(=O)C2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)CC1,"InChI=1S/C38H52N4O3S/c1-24-20-25(2)22-27(21-24)34-31(14-17-40-15-10-26(11-16-40)36(43)41-18-12-30(45-5)13-19-41)32-23-33(46-35(32)39-34)38(3,4)37(44)42-28-6-7-29(42)9-8-28/h20-23,26,28-30,39H,6-19H2,1-5H3",MEWSGCMVRSEDNY-UHFFFAOYSA-N,0.0,1,4.09
-,A100755,None,Cc1ccc(-c2cccc(S3(=O)=NC(=O)C(C)N3)c2)cc1,1.6,None,None,None,OChem,Cc1ccc(-c2cccc(S3(=O)=NC(=O)C(C)N3)c2)cc1,"InChI=1S/C16H16N2O2S/c1-11-6-8-13(9-7-11)14-4-3-5-15(10-14)21(20)17-12(2)16(19)18-21/h3-10,12H,1-2H3,(H,17,18,19,20)",ITZBEQGOAOHOQM-UHFFFAOYSA-N,0.0,1,1.6
-,A100755,None,O=c1cc(N2CCOCC2)nc2ccccn12,1.0,None,None,None,OChem,O=c1cc(N2CCOCC2)nc2ccccn12,"InChI=1S/C12H13N3O2/c16-12-9-11(14-5-7-17-8-6-14)13-10-3-1-2-4-15(10)12/h1-4,9H,5-8H2",VDMRPNTZWKDYBB-UHFFFAOYSA-N,0.0,1,1.0
-,A100755,None,CNS(=O)(=O)c1ccc(Oc2ccc(C#CC3(O)CN4CCC3CC4)cc2)cc1,2.03,None,None,None,OChem,CNS(=O)(=O)c1ccc(Oc2ccc(C#CC3(O)CN4CCC3CC4)cc2)cc1,"InChI=1S/C22H24N2O4S/c1-23-29(26,27)21-8-6-20(7-9-21)28-19-4-2-17(3-5-19)10-13-22(25)16-24-14-11-18(22)12-15-24/h2-9,18,23,25H,11-12,14-16H2,1H3",LBUIUPMSHUKSPO-UHFFFAOYSA-N,0.0,1,2.03
-,A100755,None,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,2.74,None,None,None,OChem,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,"InChI=1S/C24H26F3N3O4S/c1-13(2)11-30-22-19(20(32)28(3)23(30)34)18(21(33)29-9-8-15(31)12-29)17(35-22)10-14-6-4-5-7-16(14)24(25,26)27/h4-7,13,15,31H,8-12H2,1-3H3",NSWICKVFAPQAMB-UHFFFAOYSA-N,0.0,1,2.74
-,A100755,None,Cc1cc(CNc2ncc(Br)c(Nc3cc(C)[nH]n3)n2)on1,2.92,None,None,None,OChem,Cc1cc(CNc2ncc(Br)c(Nc3cc(C)[nH]n3)n2)on1,"InChI=1S/C13H14BrN7O/c1-7-4-11(20-19-7)17-12-10(14)6-16-13(18-12)15-5-9-3-8(2)21-22-9/h3-4,6H,5H2,1-2H3,(H3,15,16,17,18,19,20)",ITMSGQSFXHYWNM-UHFFFAOYSA-N,0.0,1,2.92
-,A100755,None,CS(=O)(=O)c1ccc2nc(N3CCN(C(=O)C4CCCCC4C(=O)NC4(C#N)CC4)CC3)sc2c1,1.49,None,None,None,OChem,CS(=O)(=O)c1ccc2nc(N3CCN(C(=O)C4CCCCC4C(=O)NC4(C#N)CC4)CC3)sc2c1,"InChI=1S/C24H29N5O4S2/c1-35(32,33)16-6-7-19-20(14-16)34-23(26-19)29-12-10-28(11-13-29)22(31)18-5-3-2-4-17(18)21(30)27-24(15-25)8-9-24/h6-7,14,17-18H,2-5,8-13H2,1H3,(H,27,30)",MSHULPIKNRKAQH-UHFFFAOYSA-N,0.0,1,1.49
-,A100755,None,Cc1ccc(OC(=O)N2CCN3CCC2CC3)cc1,1.02,None,None,None,OChem,Cc1ccc(OC(=O)N2CCN3CCC2CC3)cc1,"InChI=1S/C15H20N2O2/c1-12-2-4-14(5-3-12)19-15(18)17-11-10-16-8-6-13(17)7-9-16/h2-5,13H,6-11H2,1H3",ARTYZBLKDXNPKZ-UHFFFAOYSA-N,0.0,1,1.02
