InChI Key,CDT_Max,Resp_VAR,Resp_COUNT,Resp_STDEV,Resp_MEDIAN,SMILES_ORI,ID,NAME,DocumentID,RESPONSE,UNIT,DATASET,DATASET_ENTRY_ID,CpID,BatchRef,CpdType,ENTRY_ID,SMILES,InChI,Response
NIDVTARKFBZMOT-UHFFFAOYSA-N,0,0.0,1,0.0,-1.35,CC(=O)Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,R770781,"ACETAMIDE, N-(1-beta-D-ARABINOFURANOSYL-1,2-DIHY",A5643,-1.35,Log unit,OChem,OChem_32486,0,0,0,ID_32486,CC(=O)Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,"InChI=1S/C11H15N3O6/c1-5(16)12-7-2-3-14(11(19)13-7)10-9(18)8(17)6(4-15)20-10/h2-3,6,8-10,15,17-18H,4H2,1H3,(H,12,13,16,19)",-1.35
OIFBSDVPJOWBCH-UHFFFAOYSA-N,0,2e-16,7,1.72063788e-08,1.21,CCOC(=O)OCC,R585592,"Carbonic acid, diethyl ester",A4439,1.21,Log unit,OChem,OChem_1244,0,0,0,ID_1244,CCOC(=O)OCC,"InChI=1S/C5H10O3/c1-3-7-5(6)8-4-2/h3-4H2,1-2H3",1.21
CCRCUPLGCSFEDV-UHFFFAOYSA-N,0,0.0,7,0.0,2.62,COC(=O)C=Cc1ccccc1,R5006,methyl cinnamate,A164,2.62,Log unit,OChem,OChem_16942,0,0,0,ID_16942,COC(=O)C=Cc1ccccc1,"InChI=1S/C10H10O2/c1-12-10(11)8-7-9-5-3-2-4-6-9/h2-8H,1H3",2.62
UHOVQNZJYSORNB-UHFFFAOYSA-N,0,4.3047619048e-05,21,0.0065610684379949,2.13,c1ccccc1,R4833,Benzene,A164,2.13,Log unit,OChem,OChem_47,0,0,0,ID_47,c1ccccc1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,2.13
PWHSRJBRVPWWAR-UHFFFAOYSA-N,0,0.0,3,0.0,1.78,C#CCC(O)(c1ccc(F)cc1)c1cccnc1,R1190471,-,A5920,1.78,Log unit,OChem,OChem_23256,0,0,0,ID_23256,C#CCC(O)(c1ccc(F)cc1)c1cccnc1,"InChI=1S/C15H12FNO/c1-2-9-15(18,13-4-3-10-17-11-13)12-5-7-14(16)8-6-12/h1,3-8,10-11,18H,9H2",1.78
JMMLZWNYIVVPOH-UHFFFAOYSA-N,0,0.0,2,0.0,4.42,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccccc1,R770646,"N-(3,4-DICHLOROPHENYL)BENZAMIDE",A5643,4.42,Log unit,OChem,OChem_32449,0,0,0,ID_32449,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccccc1,"InChI=1S/C13H9Cl2NO/c14-11-7-6-10(8-12(11)15)16-13(17)9-4-2-1-3-5-9/h1-8H,(H,16,17)",4.42
WPZHPVZYKDCUQT-UHFFFAOYSA-N,0,8e-16,3,2.98023223e-08,1.99,CN(Cc1cccc(C(F)(F)F)c1)N=O,R1194241,-,A5920,1.99,Log unit,OChem,OChem_23479,0,0,0,ID_23479,CN(Cc1cccc(C(F)(F)F)c1)N=O,"InChI=1S/C9H9F3N2O/c1-14(13-15)6-7-3-2-4-8(5-7)9(10,11)12/h2-5H,6H2,1H3",1.99
XWGAIHVBWBWYJM-UHFFFAOYSA-N,0,0.0,2,0.0,2.4,CC(C)(C)[N+]([O-])=Cc1ccc(Cl)cc1,R779338,"T-BUTYLNITRONE,,A-(4-CHLOROPHENYL)",A5643,2.4,Log unit,OChem,OChem_21066,0,0,0,ID_21066,CC(C)(C)[N+]([O-])=Cc1ccc(Cl)cc1,"InChI=1S/C11H14ClNO/c1-11(2,3)13(14)8-9-4-6-10(12)7-5-9/h4-8H,1-3H3",2.4
WSCRFSFJAXCRAT-UHFFFAOYSA-N,0,0.0,5,0.0,-1.05,O=NN1CCCCC1=O,R772894,"2-PIPERIDINONE, 1-NITROSO-",A5643,-1.05,Log unit,OChem,OChem_5514,0,0,0,ID_5514,O=NN1CCCCC1=O,InChI=1S/C5H8N2O2/c8-5-3-1-2-4-7(5)6-9/h1-4H2,-1.05
ZUTCJXFCHHDFJS-UHFFFAOYSA-N,0,0.0,4,0.0,2.58,O=[N+]([O-])c1cccc2c([N+](=O)[O-])cccc12,R1189240,-,A5920,2.58,Log unit,OChem,OChem_22492,0,0,0,ID_22492,O=[N+]([O-])c1cccc2c([N+](=O)[O-])cccc12,InChI=1S/C10H6N2O4/c13-11(14)9-5-1-3-7-8(9)4-2-6-10(7)12(15)16/h1-6H,2.58
