SMILES,ARTICLEID,SMILES_ORI,InChI,InChI Key,logPapp,RESPONSE,Resp_STDEV,Resp_CNT,Resp_MEDIAN
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,A46,COC=1C2(C(C)CC(C1)=O)OC3=C(Cl)C(OC)=CC(OC)=C3C2=O,"InChI=1S/C17H17ClO6/c1-8-5-9(19)6-12(23-4)17(8)16(20)13-10(21-2)7-11(22-3)14(18)15(13)24-17/h6-8H,5H2,1-4H3",DDUHZTYCFQRHIY-UHFFFAOYSA-N,-4.437,-4.4185000500000005,0.05981462923969041,6,-4.4185000500000005
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,A46,CC=1N(C)N(C2=CC=CC=C2)C(C1N(C)C)=O,"InChI=1S/C13H17N3O/c1-10-12(14(2)3)13(17)16(15(10)4)11-8-6-5-7-9-11/h5-9H,1-4H3",RMMXTBMQSGEXHJ-UHFFFAOYSA-N,-4.438,-4.438,0.024206532295072143,7,-4.438
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,A46,S1(=O)(=O)N(C(=C(O)C=2C1=CC=CC2)C(=O)NC=3N=CC=CC3)C([H])([H])[H],"InChI=1S/C15H13N3O4S/c1-18-13(15(20)17-12-8-4-5-9-16-12)14(19)10-6-2-3-7-11(10)23(18,21)22/h2-9,19H,1H3,(H,16,17,20)",QYSPLQLAKJAUJT-UHFFFAOYSA-N,-4.449,-4.45,0.21139591251183434,10,-4.45
C=C1C(C(C)(C)C)c2c(C)c(C)c(C)c(C)c2C(c2c(C)c(C)c(C)c(C)c2C)=CC1(C)C,A46,C=C1C(C(C)(C)C)C2=C(C(C)=C(C)C(C)=C2C)C(=CC1(C)C)C3=C(C)C(C)=C(C)C(C)=C3C,"InChI=1S/C33H46/c1-17-18(2)22(6)28(23(7)19(17)3)27-16-33(14,15)26(10)31(32(11,12)13)30-25(9)21(5)20(4)24(8)29(27)30/h16,31H,10H2,1-9,11-15H3",WOPMKNHDUFQCDH-UHFFFAOYSA-N,-4.476,-4.476,0.0,1,-4.476
Cn1c(=O)c2c(ncn2C)n(C)c1=O,A46,CN1C(N(C)C(C2=C1N=CN2C)=O)=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,-4.511,-4.389,0.2209870379570558,19,-4.389
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,A46,O=C1C2=CC=CN=C2N(C3CC3)C4=C(C(C)=CC=N4)N1,"InChI=1S/C15H14N4O/c1-9-6-8-17-14-12(9)18-15(20)11-3-2-7-16-13(11)19(14)10-4-5-10/h2-3,6-8,10H,4-5H2,1H3,(H,18,20)",NQDJXKOVJZTUJA-UHFFFAOYSA-N,-4.521,-4.52,0.0061610728190527216,6,-4.52
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,A46,O=C1C(C2=CC=CC=C2)(C3=CC=CC=C3)NC(N1)=O,"InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)",CXOFVDLJLONNDW-UHFFFAOYSA-N,-4.573,-4.519,0.23386511725067224,10,-4.519
C=CCc1ccccc1OCC(O)CNC(C)C,A46,C=CCC1=CC=CC=C1OCC(O)CNC(C)C,"InChI=1S/C15H23NO2/c1-4-7-13-8-5-6-9-15(13)18-11-14(17)10-16-12(2)3/h4-6,8-9,12,14,16-17H,1,7,10-11H2,2-3H3",PAZJSJFMUHDSTF-UHFFFAOYSA-N,-4.5969999999999995,-4.393,0.36283953849940276,16,-4.393
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,A46,OC1C2(C(C3C(C4(C(CC3)=CC(=O)CC4)C)CC2)CC1)C,"InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3",MUMGGOZAMZWBJJ-UHFFFAOYSA-N,-4.604,-4.34,0.20927309771823213,7,-4.34
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,A46,N1(CCCCC1)C2(C3=CC=CC=C3)CCCCC2,"InChI=1S/C17H25N/c1-4-10-16(11-5-1)17(12-6-2-7-13-17)18-14-8-3-9-15-18/h1,4-5,10-11H,2-3,6-9,12-15H2",JTJMJGYZQZDUJJ-UHFFFAOYSA-N,-4.607,-4.48,0.0837926011053482,5,-4.48
