ID,SMILES,DocumentID,Response,Assay Description,Dataset,SMILES_ORI,InChI,InChI Key,Resp_STDEV,Resp_CNT,Resp_MEDIAN,RESPONSE
CHEMBL257411,CC(Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N1CCOCC1,CHEMBL1141539,-3.9956786262173574,Solubility in aqueous phosphate buffer at pH 7.4 after 24 hrs,ChEMBL,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N1CCOCC1,"InChI=1S/C26H25N7O3S/c1-17(26(34)32-8-10-35-11-9-32)36-22-4-2-3-20-24(22)25(29-16-28-20)31-19-5-6-21-18(13-19)14-30-33(21)15-23-27-7-12-37-23/h2-7,12-14,16-17H,8-11,15H2,1H3,(H,28,29,31)",RZPOCZHUFDCVQZ-UHFFFAOYSA-N,0.0,1,-3.9956786262173574,-3.9956786262173574
CHEMBL399223,O=C(c1c(Cl)ccc(Nc2c(Nc3ccccc3Br)c(=O)c2=O)c1O)N1CCCC1,CHEMBL1139102,-3.844663962534938,Aqueous solubility in phosphate buffer at pH 7.4,ChEMBL,O=C(c1c(Cl)ccc(Nc2c(Nc3ccccc3Br)c(=O)c2=O)c1O)N1CCCC1,"InChI=1S/C21H17BrClN3O4/c22-11-5-1-2-6-13(11)24-16-17(20(29)19(16)28)25-14-8-7-12(23)15(18(14)27)21(30)26-9-3-4-10-26/h1-2,5-8,24-25,27H,3-4,9-10H2",DVCYLRLVVFYVSR-UHFFFAOYSA-N,0.0,1,-3.844663962534938,-3.844663962534938
CHEMBL537883,O=c1c(Nc2ccccc2)c(Nc2ccc(Cl)c(S(=O)(=O)N3CCC(N4CCCCC4)CC3)c2O)c1=O,CHEMBL1139102,-5.154901959985743,Aqueous solubility in phosphate buffer at pH 7.4,ChEMBL,Cl.O=c1c(Nc2ccccc2)c(Nc2ccc(Cl)c(S(=O)(=O)N3CCC(N4CCCCC4)CC3)c2O)c1=O,"InChI=1S/C26H29ClN4O5S/c27-19-9-10-20(29-22-21(24(33)25(22)34)28-17-7-3-1-4-8-17)23(32)26(19)37(35,36)31-15-11-18(12-16-31)30-13-5-2-6-14-30/h1,3-4,7-10,18,28-29,32H,2,5-6,11-16H2",DSHSUADDEKHVAR-UHFFFAOYSA-N,0.0,1,-5.154901959985743,-5.154901959985743
CHEMBL238971,CCCc1ccccc1Nc1c(Nc2ccc(Cl)c(S(=O)(=O)N3CCN(CC)CC3)c2O)c(=O)c1=O,CHEMBL1139102,-4.107905397309519,Aqueous solubility in phosphate buffer at pH 7.4,ChEMBL,CCCc1ccccc1Nc1c(Nc2ccc(Cl)c(S(=O)(=O)N3CCN(CC)CC3)c2O)c(=O)c1=O.O=C(O)C(F)(F)F,"InChI=1S/C25H29ClN4O5S/c1-3-7-16-8-5-6-9-18(16)27-20-21(24(33)23(20)32)28-19-11-10-17(26)25(22(19)31)36(34,35)30-14-12-29(4-2)13-15-30/h5-6,8-11,27-28,31H,3-4,7,12-15H2,1-2H3",DQXCHBQYBJFANF-UHFFFAOYSA-N,0.0,1,-4.107905397309519,-4.107905397309519
CHEMBL456324,CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cc3)nc(NC(CO)CO)c2Cl)n[nH]1,CHEMBL1155933,-4.086186147616283,Solubility in phosphate buffer at pH 7.4 after 24 hrs,ChEMBL,CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)nc(NC(CO)CO)c2Cl)n[nH]1,"InChI=1S/C21H27ClFN7O3/c1-11(2)33-17-8-16(29-30-17)26-20-18(22)19(25-15(9-31)10-32)27-21(28-20)24-12(3)13-4-6-14(23)7-5-13/h4-8,11-12,15,31-32H,9-10H2,1-3H3,(H4,24,25,26,27,28,29,30)",XFGQQCZWCNSYOC-UHFFFAOYSA-N,0.0,1,-4.086186147616283,-4.086186147616283
CHEMBL481595,COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1NCCN1CCCCC1,CHEMBL1143302,-3.6989700043360187,Equilibrium solubility at pH 7.4 in phosphate buffer,ChEMBL,COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1NCCN1CCCCC1,"InChI=1S/C24H27Cl2N5O2/c1-33-21-13-19-15(12-20(21)28-8-11-31-9-3-2-4-10-31)23(16(14-29-19)24(27)32)30-18-7-5-6-17(25)22(18)26/h5-7,12-14,28H,2-4,8-11H2,1H3,(H2,27,32)(H,29,30)",YHGSJALOKNKHQN-UHFFFAOYSA-N,0.0,1,-3.6989700043360187,-3.6989700043360187
CHEMBL521255,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(C(N)=O)cnc2cc1OCCNC1CC1,CHEMBL1143302,-3.42021640338319,Equilibrium solubility at pH 7.4 in phosphate buffer,ChEMBL,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(C(N)=O)cnc2cc1OCCNC1CC1,"InChI=1S/C22H22ClFN4O3/c1-30-19-9-14-18(10-20(19)31-7-6-26-12-2-3-12)27-11-15(22(25)29)21(14)28-13-4-5-17(24)16(23)8-13/h4-5,8-12,26H,2-3,6-7H2,1H3,(H2,25,29)(H,27,28)",ABKRRHKOOYNBDC-UHFFFAOYSA-N,0.0,1,-3.42021640338319,-3.42021640338319
CHEMBL481402,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,CHEMBL1143302,-3.0404816230270018,Equilibrium solubility at pH 7.4 in phosphate buffer,ChEMBL,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,"InChI=1S/C25H29ClFN5O3/c1-31-7-9-32(10-8-31)6-3-11-35-23-13-17-21(14-22(23)34-2)29-15-18(25(28)33)24(17)30-16-4-5-20(27)19(26)12-16/h4-5,12-15H,3,6-11H2,1-2H3,(H2,28,33)(H,29,30)",CYOGHJXLSFPFGI-UHFFFAOYSA-N,0.0,1,-3.0404816230270018,-3.0404816230270018
CHEMBL1096628,O=c1nc2n(CCC3CC3)nc(-c3ccc4c(c3)OC(F)(F)O4)nc-2c(=O)n1CC1CC1,CHEMBL1157007,-4.79317412396815,Solubility in aqueous buffer at pH 7.4,ChEMBL,O=c1nc2n(CCC3CC3)nc(-c3ccc4c(c3)OC(F)(F)O4)nc-2c(=O)n1CC1CC1,"InChI=1S/C21H19F2N5O4/c22-21(23)31-14-6-5-13(9-15(14)32-21)17-24-16-18(28(26-17)8-7-11-1-2-11)25-20(30)27(19(16)29)10-12-3-4-12/h5-6,9,11-12H,1-4,7-8,10H2",WNYADZCQRWZHHM-UHFFFAOYSA-N,0.0,1,-4.79317412396815,-4.79317412396815
CHEMBL1095614,Cn1c(=O)nc2n(CCC3CC3)nc(-c3nc4ccccc4s3)nc-2c1=O,CHEMBL1157007,-4.468521082957745,Solubility in aqueous buffer at pH 7.4,ChEMBL,Cn1c(=O)nc2n(CCC3CC3)nc(-c3nc4ccccc4s3)nc-2c1=O,"InChI=1S/C18H16N6O2S/c1-23-17(25)13-15(21-18(23)26)24(9-8-10-6-7-10)22-14(20-13)16-19-11-4-2-3-5-12(11)27-16/h2-5,10H,6-9H2,1H3",UMBGUBKSYMSDCS-UHFFFAOYSA-N,0.0,1,-4.468521082957745,-4.468521082957745
CHEMBL91131,CCOC(=O)CCC(=O)Nc1nnc(S(N)(=O)=O)s1,CHEMBL1125487,-2.050609993355087,Solubility (in phosphate buffer),ChEMBL,CCOC(=O)CCC(=O)Nc1nnc(S(N)(=O)=O)s1,"InChI=1S/C8H12N4O5S2/c1-2-17-6(14)4-3-5(13)10-7-11-12-8(18-7)19(9,15)16/h2-4H2,1H3,(H2,9,15,16)(H,10,11,13)",VBKUNDBTMBRMAA-UHFFFAOYSA-N,0.0,1,-2.050609993355087,-2.050609993355087
CHEMBL1770298,Cc1ccc(C(NC(=O)c2ccccc2O)C(=O)Nc2c(C)cccc2C)s1,CHEMBL1770079,-4.167491087293763,Solubility of the compound in 0.1 M phosphate buffer,ChEMBL,Cc1ccc(C(NC(=O)c2ccccc2O)C(=O)Nc2c(C)cccc2C)s1,"InChI=1S/C22H22N2O3S/c1-13-7-6-8-14(2)19(13)23-22(27)20(18-12-11-15(3)28-18)24-21(26)16-9-4-5-10-17(16)25/h4-12,20,25H,1-3H3,(H,23,27)(H,24,26)",AHTURLVFIJHCLS-UHFFFAOYSA-N,0.0,1,-4.167491087293763,-4.167491087293763
CHEMBL299892,CC(C)CC(NC(=O)CC(O)C(CC1CCCCC1)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1cccc(OCC(=O)O)c1,CHEMBL1123973,-3.677780705266081,"Solubility (phosphate buffer, pH 7.4)",ChEMBL,CC(C)C[C@H](NC(=O)CC(O)C(CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1cccc(OCC(=O)O)c1,"InChI=1S/C46H65N7O10/c1-29(2)19-36(42(58)48-25-32-17-12-18-34(20-32)62-27-41(56)57)50-40(55)24-39(54)35(21-30-13-8-6-9-14-30)51-44(60)38(23-33-26-47-28-49-33)52-43(59)37(22-31-15-10-7-11-16-31)53-45(61)63-46(3,4)5/h7,10-12,15-18,20,26,28-30,35-39,54H,6,8-9,13-14,19,21-25,27H2,1-5H3,(H,47,49)(H,48,58)(H,50,55)(H,51,60)(H,52,59)(H,53,61)(H,56,57)",ZJJUSDDGRAFRNF-UHFFFAOYSA-N,0.0,1,-3.677780705266081,-3.677780705266081
CHEMBL3264938,CCn1c(CCCc2ccc(-c3cnc(NS(=O)(=O)c4ccccc4)cn3)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O,CHEMBL3259631,-5.309803919971486,Solubility of the compound in aqueous buffer at pH 7.4 after 24 hrs by LC-MS/MS analysis,ChEMBL,CCn1c(CCCc2ccc(-c3cnc(NS(=O)(=O)c4ccccc4)cn3)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O,"InChI=1S/C34H38N6O3S/c1-5-39-32(37-40(33(39)41)24-26-16-20-28(21-17-26)34(2,3)4)13-9-10-25-14-18-27(19-15-25)30-22-36-31(23-35-30)38-44(42,43)29-11-7-6-8-12-29/h6-8,11-12,14-23H,5,9-10,13,24H2,1-4H3,(H,36,38)",NJMGWTOEIOWPNY-UHFFFAOYSA-N,0.0,1,-5.309803919971486,-5.309803919971486
