InChI Key,Resp_MEDIAN,Resp_STDEV,Resp_COUNT,Cell Type,Comment,DocumentID,IC50(nM),InChI_M,SMILES_ORI,SMILES,DATASET,Temperature,pIC50(M),new_response,choice
AABBLHFMQYNECK-UHFFFAOYSA-N,4.689619755002897,0.0987559426276818,2,,,CHEMBL4002630,24000.0,"InChI=1S/C25H29N3O6S/c1-16-18(4-5-19-20(16)14-34-24(19)31)21(29)13-27-9-7-25(8-10-27)11-23(30)28(15-25)22-6-3-17(12-26-22)35(2,32)33/h3-6,12,21,29H,7-11,13-15H2,1-2H3",Cc1c([C@@H](O)CN2CCC3(CC2)CC(=O)N(c2ccc(S(C)(=O)=O)cn2)C3)ccc2c1COC2=O,Cc1c(C(O)CN2CCC3(CC2)CC(=O)N(c2ccc(S(C)(=O)=O)cn2)C3)ccc2c1COC2=O,ChEMBL,,4.619788758288394,4.689619755002897,"count == 2, std < 0.5"
AACWUFIIMOHGSO-UHFFFAOYSA-N,6.187086643357143,5.002356557002399e-05,3,HEK293,,CHEMBL1142327,650.0,"InChI=1S/C19H24N6O2/c1-12-10-13(2)25(23-12)17-11-16(20-18(26)8-9-24(4)5)21-19(22-17)15-7-6-14(3)27-15/h6-7,10-11H,8-9H2,1-5H3,(H,20,21,22,26)",Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1,Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1,ChEMBL,,6.187086643357143,6.187086643357143,"count >= 3, std <= 0.5"
AAELEHAFAYIZRH-UHFFFAOYSA-N,5.675717544702308,0.0,2,CHO-K1,,CHEMBL3872208,2110.0,"InChI=1S/C24H30N4O2S/c29-24(21-5-3-17-30-21)25-19-9-7-18(8-10-19)11-12-27-13-15-28(16-14-27)23-20-4-1-2-6-22(20)31-26-23/h1-6,17-19H,7-16H2,(H,25,29)",O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,O=C(NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,ChEMBL,,5.675717544702308,5.675717544702308,"count == 2, std < 0.5"
AAGFPTSOPGCENQ-UHFFFAOYSA-N,3.7,-1.0,1,unspecified,,A58124,199.5,"InChI=1S/C15H22N2O/c18-14-7-1-6-13-12-5-3-9-16-8-2-4-11(15(12)16)10-17(13)14/h1,7,11-13,15H,2-6,8-10H2",O=C1N2C(C3C4[NH+](CCC3)CCCC4C2)CC=C1,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,OChem,,3.7,3.7,count == 1
AAHNBILIYONQLX-UHFFFAOYSA-N,5.236384891181235,0.4906961872127008,2,HEK293,,CHEMBL3608254,12900.0,"InChI=1S/C25H22F4N6O2/c1-15-11-33(14-30-15)21-8-6-16(10-23(21)37-2)19-12-35(32-31-19)22-9-7-17-18(26)4-3-5-20(17)34(24(22)36)13-25(27,28)29/h3-6,8,10-12,14,22H,7,9,13H2,1-2H3",COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,ChEMBL,,4.88941028970075,5.236384891181235,"count == 2, std < 0.5"
AAONJNLMLWRZJE-UHFFFAOYSA-N,5.800000874803202,0.4923448978869155,6,,,CHEMBL1153718,1995.26,"InChI=1S/C27H28ClN5S/c1-18-7-12-22-23(5-3-6-24(22)29-18)25-30-31-26(32(25)2)34-14-4-13-33-16-20-15-27(20,17-33)19-8-10-21(28)11-9-19/h3,5-12,20H,4,13-17H2,1-2H3",Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)cc5)C4)n3C)cccc2n1,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)cc5)C4)n3C)cccc2n1,ChEMBL,,5.700000503883016,5.800000874803202,"count >= 3, std <= 0.5"
AAPXNHMQKBDDJN-UHFFFAOYSA-N,5.420000125784821,0.0877021792814876,4,HEK293,,CHEMBL3853329,3981.07,"InChI=1S/C22H27N5OS/c1-16-19(28-15-23-16)20-24-25-21(26(20)2)29-12-6-10-27-11-9-22(14-27)13-18(22)17-7-4-3-5-8-17/h3-5,7-8,15,18H,6,9-14H2,1-2H3",Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccccc3)C2)n1C,Cc1ncoc1-c1nnc(SCCCN2CCC3(CC3c3ccccc3)C2)n1C,ChEMBL,,5.40000018605658,5.420000125784821,"count >= 3, std <= 0.5"
AAQZZAVVFRIEOD-UHFFFAOYSA-N,5.950781977329817,0.0001258754473197,3,,,CHEMBL1152152,1120.0,"InChI=1S/C16H14Cl2F3NO/c1-22(2)9-10-3-4-11(16(19,20)21)7-15(10)23-12-5-6-13(17)14(18)8-12/h3-8H,9H2,1-2H3",CN(C)Cc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,CN(C)Cc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,ChEMBL,,5.950781977329817,5.950781977329817,"count >= 3, std <= 0.5"
AATNRUXRJQIOEV-UHFFFAOYSA-N,6.173925197299173,-1.0,1,,,CHEMBL2407005,670.0,"InChI=1S/C24H36N4O3/c1-3-12-28-21(29)17-24(20-6-5-11-25-22(20)28)9-15-26(16-10-24)18-19-7-13-27(14-8-19)23(30)31-4-2/h5-6,11,19H,3-4,7-10,12-18H2,1-2H3",CCCN1C(=O)CC2(CCN(CC3CCN(C(=O)OCC)CC3)CC2)c2cccnc21,CCCN1C(=O)CC2(CCN(CC3CCN(C(=O)OCC)CC3)CC2)c2cccnc21,ChEMBL,,6.173925197299173,6.173925197299173,count == 1
AAUZPIUROATGLA-UHFFFAOYSA-N,5.4089353929735005,0.0,3,,,US10221173,3900.0,"InChI=1S/C27H33F4N3O3/c1-17-14-19-18-6-3-4-7-20(18)33-25(19)26(34(17)15-27(30,31)16-35)23-21(36-2)8-9-22(24(23)29)37-13-12-32-11-5-10-28/h3-4,6-9,17,26,32-33,35H,5,10-16H2,1-2H3",COc1ccc(OCCNCCCF)c(F)c1[C@H]1N(CC(F)(F)CO)[C@H](C)Cc2c1[nH]c1ccccc21,COc1ccc(OCCNCCCF)c(F)c1C1c2[nH]c3ccccc3c2CC(C)N1CC(F)(F)CO,BindingDB,,5.4089353929735005,5.4089353929735005,"count >= 3, std <= 0.5"
