Slide_ID;CHEMISTRY;Endpoint;ReferenceID;Correct_Answer;DOI;ID_Paper;Author;scaffold_smiles;ID_Reponse;ID_in_article;subst_smiles;total_smiles;Cpd_Level;measurement;mod;value;unit
34;Chemistry 2;hERG;48;C;https://pubs.acs.org/doi/10.1021/acsmedchemlett.1c00660;48;CM;[*]NC(=O)C1=CC=CN2C(=O)c3ccc4ccccc4c3N=C12;A;39;[*]CCN1CCCCC1;O=C(NCCN1CCCCC1)c1cccn2c(=O)c3ccc4ccccc4c3nc12;bad;IC50;;3.72;uM
34;Chemistry 1;hERG;48;C;https://pubs.acs.org/doi/10.1021/acsmedchemlett.1c00660;48;CM;[*]NC(=O)C1=CC=CN2C(=O)c3ccc4ccccc4c3N=C12;B;31;[*]CCN1CCCC1;O=C(NCCN1CCCC1)c1cccn2c(=O)c3ccc4ccccc4c3nc12;bad;IC50;;3.64;uM
34;Chemistry 0;hERG;48;C;https://pubs.acs.org/doi/10.1021/acsmedchemlett.1c00660;48;CM;[*]NC(=O)C1=CC=CN2C(=O)c3ccc4ccccc4c3N=C12;C;40;[*]CCN1CCN(C)CC1;CN1CCN(CCNC(=O)c2cccn3c(=O)c4ccc5ccccc5c4nc23)CC1;Good;IC50;>;10;uM
4;Chemistry 3;LogD;47;A;https://pubs.acs.org/doi/10.1021/acsmedchemlett.2c00172;47;CM;[*]N1C(=O)N(C)c2cnc(Nc3cc4cccnc4cc3C)nc12;A;10;[*]C1CCNCC1;Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CCNCC1)c(=O)n2C;Good;logD7.4;;0.5;
4;Chemistry 4;LogD;47;A;https://pubs.acs.org/doi/10.1021/acsmedchemlett.2c00172;47;CM;[*]N1C(=O)N(C)c2cnc(Nc3cc4cccnc4cc3C)nc12;B;7;[*]C1CCN(C)CC1;Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CCN(C)CC1)c(=O)n2C;medium;logD7.4;;1.8;
4;Chemistry 5;LogD;47;A;https://pubs.acs.org/doi/10.1021/acsmedchemlett.2c00172;47;CM;[*]N1C(=O)N(C)c2cnc(Nc3cc4cccnc4cc3C)nc12;C;16;[*]C1CN(C)CC1F;Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CN(C)CC1F)c(=O)n2C;medium;logD7.4;;2.1;
52;Chemistry 8;hERG;47;C;https://pubs.acs.org/doi/10.1021/acsmedchemlett.2c00172;47;CM;[*]N1C(=O)N(C)c2cnc(Nc3cc4cccnc4cc3C)nc12;A;7;[*]C1CCN(C)CC1;Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CCN(C)CC1)c(=O)n2C;bad;IC50;;9.7;uM
52;Chemistry 7;hERG;47;C;https://pubs.acs.org/doi/10.1021/acsmedchemlett.2c00172;47;CM;[*]N1C(=O)N(C)c2cnc(Nc3cc4cccnc4cc3C)nc12;B;12;[*]C1CCN(C)C1;Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CCN(C)C1)c(=O)n2C;bad;IC50;;16;uM
52;Chemistry 6;hERG;47;C;https://pubs.acs.org/doi/10.1021/acsmedchemlett.2c00172;47;CM;[*]N1C(=O)N(C)c2cnc(Nc3cc4cccnc4cc3C)nc12;C;18;[*]C1CNCC1F;Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CNCC1F)c(=O)n2C;Good;IC50;;75;uM
10;Chemistry 11;Solubility;46;C;https://pubs.acs.org/doi/10.1021/jm101356p;46;CM;[*]C1=CC(=O)c2c(O1)ccc3ccccc23;A;17;[*]c1ccccc1F;O=c1cc(-c2ccccc2F)oc2ccc3ccccc3c12;medium;Thermodyn. Aq. sol.;;153;ug/mL
10;Chemistry 10;Solubility;46;C;https://pubs.acs.org/doi/10.1021/jm101356p;46;CM;[*]C1=CC(=O)c2c(O1)ccc3ccccc23;B;14;[*]c1ccccc1;O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12;medium;Thermodyn. Aq. sol.;;84.6;ug/mL
10;Chemistry 9;Solubility;46;C;https://pubs.acs.org/doi/10.1021/jm101356p;46;CM;[*]C1=CC(=O)c2c(O1)ccc3ccccc23;C;20;[*]c1ccccn1;O=c1cc(-c2ccccn2)oc2ccc3ccccc3c12;Good;Thermodyn. Aq. sol.;;299;ug/mL
45;Chemistry 12;Solubility;46;A;https://pubs.acs.org/doi/10.1021/jm101356p;46;CM;[*]C1=CC(=O)c2c(O1)ccc3ccccc23;A;16;[*]c1c(C)cccc1C;Cc1cccc(C)c1-c1cc(=O)c2c(ccc3ccccc32)o1;Good;Thermodyn. Aq. sol.;;1270;ug/mL
